article1,article1_num,article2,article2_num,memo
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,319조,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,330조,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,331조,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,297조,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,297조의2,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,298조,
성폭력범죄의 처벌 등에 관한 특례법,3조,형법,299조,
성폭력범죄의 처벌 등에 관한 특례법,4조,형법,297조,
성폭력범죄의 처벌 등에 관한 특례법,4조,형법,298조,
성폭력범죄의 처벌 등에 관한 특례법,4조,형법,299조,
성폭력범죄의 처벌 등에 관한 특례법,4조,형법,324조,강요죄. 법조경합 때문에 강간죄는 성립할 수 없음.
성폭력범죄의 처벌 등에 관한 특례법,4조,형법,261조,"성폭법 4조에서 흉기나 위험한 물건을 휴대한 채 강간한다고 설명하고 있는데, 강간하지 않고 폭행만 했을 경우 특수폭행에 해당함. 따라서 모순관계에 있음"
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,297조,"성폭법 5조는 폭행 또는 협박으로 강간했다고 명시하고 있음. 강간죄가 폭행죄와 협박죄를 포함하고 있듯, 여기서도 폭행죄와 협박죄를 포함한다고 봐야함. 단체의 폭행에는 해당하지 않고, 만약 단체로 폭행했다고 하면 상상적 경합이 됨."
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,297조의2,
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,298조,
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,299조,
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,260조,
성폭력범죄의 처벌 등에 관한 특례법,5조,형법,283조,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,297조,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,297조의2,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,298조,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,299조,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,260조,
성폭력범죄의 처벌 등에 관한 특례법,6조,형법,283조,
성폭력범죄의 처벌 등에 관한 특례법,7조,형법,297조,
성폭력범죄의 처벌 등에 관한 특례법,7조,형법,297조의2,
성폭력범죄의 처벌 등에 관한 특례법,7조,형법,298조,
성폭력범죄의 처벌 등에 관한 특례법,7조,형법,299조,
성폭력범죄의 처벌 등에 관한 특례법,7조,형법,305조,
성폭력범죄의 처벌 등에 관한 특례법,8조,형법,257조,형법 301조 (강간 등 상해치상) 은 여기에 들어가지 않는다. 법리적으로 법조경합의 관계에 있지 않다
성폭력범죄의 처벌 등에 관한 특례법,9조,형법,259조,
성폭력범죄의 처벌 등에 관한 특례법,14조의3,형법,324조,강요죄.
성폭력범죄의 처벌 등에 관한 특례법,14조의3,형법,283조,협박죄
,,,,
형법,115조,형법,260조,
형법,115조,형법,283조,
형법,123조,형법,324조,
형법,124조,형법,276조,
형법,125조,형법,260조,
형법,136조,형법,260조,
형법,136조,형법,283조,
형법,136조,형법,324조,
형법,136조,형법,136조,
형법,144조,형법,138조,
형법,144조,형법,140조,
형법,146조,형법,260조,
형법,146조,형법,283조,
형법,148조,형법,147조,간수자의 도주원조 는 도주원조와 특별관계
형법,164조,형법,257조,
형법,164조,형법,258조,
형법,164조,형법,259조,
,,,,
형법,168조,형법,166조,
형법,168조,형법,167조,
형법,171조,형법,170조,
형법,172조,형법,257조,
형법,172조,형법,258조,
형법,172조,형법,259조,
형법,172조,형법,257조,
형법,172조의2,형법,258조,
형법,172조의2,형법,259조,
형법,173조,형법,257조,
형법,173조,형법,258조,
형법,173조,형법,259조,
형법,173조의2,형법,172조,
형법,173조의2,형법,172조의2,
형법,173조의2,형법,173조,
형법,177조,형법,257조,
형법,177조,형법,258조,
형법,177조,형법,259조,
형법,181조,형법,177조,
형법,181조,형법,178조,
형법,181조,형법,179조,
형법,188조,형법,185조,
형법,188조,형법,187조,
형법,188조,형법,257조,
형법,188조,형법,258조,
형법,188조,형법,259조,
형법,189조,형법,185조,
형법,189조,형법,187조,
,,,,
형법,194조,형법,257조,
형법,194조,형법,258조,
형법,194조,형법,259조,
형법,200조,형법,122조,
형법,252조,형법,250조,
형법,258조,형법,257조,
형법,258조의2,형법,257조,
형법,258조의2,형법,258조,
형법,259조,형법,257조,
형법,261조,형법,260조,
형법,257조,형법,260조,상해와 폭행은 서로 모순 아님.
형법,262조,형법,260조,
형법,262조,형법,257조,
형법,262조,형법,261조,
형법,262조,형법,258조,상해와 폭행은 서로 모순 아님.
형법,262조,형법,259조,상해와 폭행은 서로 모순 아님.
형법,262조,형법,258조의2,상해와 폭행은 서로 모순 아님.
형법,262조,형법,259조,상해와 폭행은 서로 모순 아님.
형법,266조,형법,257조,
형법,268조,형법,266조,
형법,268조,형법,267조,
형법,269조,형법,257조,
형법,269조,형법,259조,
형법,270조,형법,269조,
형법,270조,형법,257조,
형법,270조,형법,259조,
,,,,
형법,277조,형법,276조,
형법,278조,형법,277조,
형법,290조,형법,276조,
형법,281조,형법,276조,
형법,281조,형법,277조,
형법,281조,형법,278조,
형법,281조,형법,257조,
형법,281조,형법,259조,
형법,284조,형법,283조,
형법,290조,형법,287조,
형법,290조,형법,288조,
형법,290조,형법,289조,
형법,290조,형법,257조,
형법,291조,형법,287조,
형법,291조,형법,288조,
형법,291조,형법,289조,
형법,291조,형법,250조,
형법,291조,형법,290조,
형법,297조,형법,283조,
형법,297조,형법,260조,
형법,297조의2,형법,297조,
형법,297조의2,형법,283조,
형법,297조의2,형법,260조,
형법,299조,형법,297조의2,
형법,299조,형법,297조,
형법,299조,형법,283조,
형법,299조,형법,260조,
형법,301조,형법,297조,
형법,301조,형법,297조의2,
형법,301조,형법,298조,
형법,301조,형법,299조,
형법,301조의2,형법,297조,
형법,301조의2,형법,297조의2,
형법,301조의2,형법,298조,
형법,301조의2,형법,299조,
형법,301조의2,형법,250조,
,,,,
형법,309조,형법,307조,
형법,314조,형법,313조,
형법,317조,형법,127조,공무상비밀누설은 업무상비밀누설과 모순 아님.
형법,319조,형법,320조,
형법,324조의2,형법,324조,
형법,324조의3,형법,324조의2,
형법,324조의3,형법,257조,
형법,324조의4,형법,324조의2,
형법,324조의4,형법,250조,
형법,325조,형법,283조,
형법,325조,형법,260조,
형법,330조,형법,319조,
형법,330조,형법,329조,
형법,331조,형법,330조,
형법,331조,형법,319조,
형법,333조,형법,283조,
형법,333조,형법,260조,
형법,333조,형법,329조,
형법,334조,형법,333조,
형법,334조,형법,330조,
형법,336조,형법,324조의2,
형법,339조,형법,333조,
형법,339조,형법,297조,
,,,,
형법,340조,형법,334조,
형법,340조,형법,250조,
형법,340조,형법,257조,
형법,350조,형법,260조,
형법,350조의2,형법,350조,
형법,356조,형법,355조,
형법,368조,형법,366조,
형법,368조,형법,257조,
형법,368조,형법,250조,
